# Time	Temperature [K]	Pressure [Pa]
t	T	P	H2	H	O2	O	OH	HO2	H2O2	H2O	AR	N2
0.000306282	2125.52	202650	4.51607e-05	2.42568e-05	0.00104506	5.44991e-05	0.000145586	3.78298e-08	4.61515e-09	0.00203007	0	0.00812227
0.000368705	2165.88	202650	2.81068e-05	1.16783e-05	0.00103401	3.35562e-05	0.000117216	3.91629e-08	3.53256e-09	0.00203373	0	0.00799491
0.000399916	2176.99	202650	2.36201e-05	8.98843e-06	0.00103168	2.8123e-05	0.000107475	3.97465e-08	3.27375e-09	0.0020353	0	0.00796058
0.000462336	2191.24	202650	1.77814e-05	5.76534e-06	0.00102878	2.11447e-05	9.49946e-05	4.42228e-08	2.96907e-09	0.00203742	0	0.00791707
0.000587185	2205.71	202650	1.2113e-05	3.17803e-06	0.00102652	1.44069e-05	8.02783e-05	5.44214e-08	2.89552e-09	0.00204011	0	0.00787335
0.000836851	2216.22	202650	8.37435e-06	1.81006e-06	0.00102555	9.94506e-06	6.74785e-05	6.69145e-08	3.20652e-09	0.00204255	0	0.00784187
0.00118743	2221.67	202650	6.71238e-06	1.32501e-06	0.00102542	7.95976e-06	5.94931e-05	6.80111e-08	3.20953e-09	0.00204411	0	0.00782558
0.00188836	2223.14	202650	6.23756e-06	1.18593e-06	0.00102536	7.39675e-06	5.74307e-05	7.05056e-08	3.30224e-09	0.00204452	0	0.00782118
0.0032902	2223.4	202650	6.16475e-06	1.16624e-06	0.00102536	7.30965e-06	5.70389e-05	7.04161e-08	3.29703e-09	0.0020446	0	0.00782043
0.00608994	2223.4	202650	6.16447e-06	1.16617e-06	0.00102536	7.30931e-06	5.70374e-05	7.04148e-08	3.29688e-09	0.0020446	0	0.00782042
0.0116737	2223.4	202650	6.16447e-06	1.16617e-06	0.00102536	7.30932e-06	5.70374e-05	7.04148e-08	3.29688e-09	0.0020446	0	0.00782042
0.0227785	2223.4	202650	6.16447e-06	1.16617e-06	0.00102536	7.30932e-06	5.70374e-05	7.04148e-08	3.29688e-09	0.0020446	0	0.00782042
0.0449881	2223.4	202650	6.16447e-06	1.16617e-06	0.00102536	7.30932e-06	5.70374e-05	7.04148e-08	3.29688e-09	0.0020446	0	0.00782042
0.047856	2223.4	202650	6.16447e-06	1.16617e-06	0.00102536	7.30932e-06	5.70374e-05	7.04148e-08	3.29688e-09	0.0020446	0	0.00782042
0.0499672	2223.4	202650	6.16447e-06	1.16617e-06	0.00102536	7.30932e-06	5.70374e-05	7.04148e-08	3.29688e-09	0.0020446	0	0.00782042
